borough,major_n_avg,oth_n_avg,nocrim_n_avg,prop_n_avg,vio_n_avg
K,0.727694052678903,2.32146091267009,3.41733096732634,1.74983440703601,1.08275346988266
M,0.754321445126689,2.75546558304204,4.07620830079437,2.01156258080909,1.20332057403597
Q,0.254068270675734,2.72682700139048,2.28610131839161,1.62548120983607,0.325605988653455
R,0.311093792475335,1.49985065160904,2.95329278370471,1.00142425403345,0.642242858920823
X,0.597472603619521,2.2688281041981,4.18090526443265,1.34362602393213,1.1533910920374
